AccelerationX;AccelerationY;AccelerationZ;AccelerationT;Date;Timestamp;DeviceOrientation
0.13573387875336163;-0.026579752450115256;-0.9285137388795385;0.0038963997249652493;2020-07-14 22:48:14;1594792094.7507222;portrait
0.16950576667933315;-0.012093203314930927;-0.9338917272327513;0.0026595831463112063;2020-07-14 22:48:14;1594792094.756501;portrait
0.204640998145574;0.0005971796457114165;-0.9374889665583093;0.0037047289369169785;2020-07-14 22:48:14;1594792094.762182;portrait
0.24195783631433712;0.010643273878335588;-0.9382049831210019;0.00038546725488686207;2020-07-14 22:48:14;1594792094.7661636;portrait
0.2817376114808947;0.017300448766962045;-0.9351049867261823;0.0014747099879031111;2020-07-14 22:48:14;1594792094.7836928;portrait
0.32361157436032806;0.019994699387735855;-0.9275506559314822;0.011430768283467785;2020-07-14 22:48:14;1594792094.8023226;portrait
0.3665397937951467;0.01840130994453725;-0.9153274352884102;0.021235025076844494;2020-07-14 22:48:14;1594792094.84221;portrait
0.40888724117841135;0.012521183819371808;-0.8987276643910052;0.00632113804286405;2020-07-14 22:48:14;1594792094.88241;portrait
0.4485878841880253;0.0027397177631038982;-0.8785577861461077;0.00538688699764478;2020-07-14 22:48:14;1594792094.926154;portrait
0.4833809084941265;-0.01013945977712339;-0.8560719704193908;0.0365324755266947;2020-07-14 22:48:14;1594792094.962259;portrait
0.5110976366843393;-0.024891250161487702;-0.8328631722683948;0.07242653211005745;2020-07-14 22:48:14;1594792095.002526;portrait
0.5299648134388903;-0.039916863122546074;-0.8107409054984839;0.06426272666733723;2020-07-14 22:48:14;1594792095.042691;portrait
0.5388731348354223;-0.05337927803199715;-0.7916043918133336;0.047182602126127904;2020-07-14 22:48:14;1594792095.081891;portrait
0.5375514330486862;-0.06344448178342471;-0.7773048760706334;0.15510478329643718;2020-07-14 22:48:14;1594792095.121635;portrait
0.5266013674741068;-0.06858573706831662;-0.7694922198467;0.09486143172448891;2020-07-14 22:48:14;1594792095.1617231;portrait
